"ID","Naive B cells","Memory B cells","Plasma cells","CD8 T cells","Naive CD4 T cells","Resting CD4 memory T cells","Activated CD4 memory T cells","Follicular helper T cells","Regulatory T cells","Gamma delta T cells","Resting NK cells","Activated NK cells","Monocytes","M0 Macrophages","M1 Macrophages","M2 Macrophages","Resting dendritic cells","Activated dendritic cells","Resting mast cells","Activated mast cells","Eosinophils","Neutrophils"
"SEQC_NB040",0.156484295333005,0.0314614065153524,0,0.193748372076094,0.149744462546314,0.13867069506716,0,0.0104369083068843,0.0558867579234626,0,0.0383198279676344,0,0.0244113438358467,0.0284108016979185,0.0130844705366173,0.15314623061922,0,0,0,0.00619442757449218,0,0
"SEQC_NB041",0.287525518066095,0,0,0.166385131840619,0,0.0702751768267584,0,0.127012145865617,0,0,0.0440883346819821,0,0.0592120652360155,0,0.0447946722763916,0.181387176050214,0,0,0,0,0.0193197791563071,0
"SEQC_NB042",0.0200106988399175,0.0194082502464181,0,0,0,0.273933738431245,0,0.0705890553353415,0.0304891735688847,0,0.0458116075436825,0.00969960080066162,0.0220992825132253,0.24731011301621,0.0111383425612727,0.227293514887909,0,0,0.0222166222552324,0,0,0
"SEQC_NB043",0.0242820113662153,0,0.00136447696121269,0.155045669677373,0,0.094789585081712,0,0.0974213026631669,0.0294038148814707,0,0,0.00387885333076209,0,0.430855566024276,0.043468123967534,0.119490596046278,0,0,0,0,0,0
"SEQC_NB044",0.0141605075959974,0,0,0,0,0.422441281178551,0,0.0261907753846524,0.0686771315911022,0,0.0510580180343655,0.0262302698574154,0,0.218767613690101,0.00700976813626646,0.127881649558084,0,0,0.0375829849734644,0,0,0
"SEQC_NB045",0.135168766012962,0,0,0.127562823291267,0,0.274487767275222,0.0288008267904151,0.054502609303567,0.00714768428211453,0,0.0477428445043252,0,0.0198426774436212,0.0862356249250018,0.0606116875954814,0.123366536394677,0,0,0,0.0345301521813451,0,0
"SEQC_NB046",0.174296569948354,0.0188933132198761,0.00353595479452408,0.262631635447675,0,0,0,0.147788424318333,0.0633493313739337,0,0.0253942445946595,0,0.0224038524216359,0.065066453885206,0.0539994362432348,0.158696420557459,0,0,0.00394436319510883,0,0,0
"SEQC_NB047",0.00876656308048892,0.0131296574857687,0,0.00337719463455704,0,0.27295669627468,0,0.0790476366104223,0.0416910922311241,0,0.117966676890872,0.00341572771005299,0.0949687955476572,0.197802614860643,0.0385544629429507,0.0858423792702801,0.0153136247840803,0,0.020573022609202,0,0.00659385506722088,0
"SEQC_NB048",5.08382275412912e-05,0,0.00489626151385105,0,0,0.374995426594992,0,0.0288277208571607,0.0330411835643357,0,0.0160985569357591,0,0.191485771661767,0,0.0083639659665553,0.289935289383724,0,0.0118655237377797,0,0.0193071578613935,0,0.0211323036951409
"SEQC_NB049",0.135270962626654,0,0,0.0658717892510938,0,0.175980381928011,0.0169146672414897,0.0799158583545497,0.043478584470869,0,0.0087800350685486,0.013192309379407,0.0580342159778586,0,0.067544252687756,0.31279942143143,0.0222175215823329,0,0,0,0,0
"SEQC_NB050",0.166919142637287,0,0,0.107248535339314,0,0.149971258609102,0.0211139736925359,0.0291324174876555,0.0378410882051253,0,0.0347607512488755,0,0.0235760736032198,0.0498150267894592,0.0164807234312166,0.331975822315783,0,0.00951332023033091,0.0216518664100956,0,0,0
"SEQC_NB051",0.0715902488001864,0,0.00453631080482736,0,0,0.415472828695428,0,0.0763507568036883,0.0418284216582205,0,0.0500519044516706,0.0118585182714765,0.0385690544071858,0.110312055770947,0.00857636601888636,0.170853534317483,0,0,0,0,0,0
"SEQC_NB052",0,0.0713483307972996,0.00855586988720798,0.0759147801533255,0,0.0810514001245223,0,0.273801349841107,0,0,0,0.0951172645153216,0.0576901615819518,0,0.0234284535684598,0.299115283703426,0,0,0,0,0.0139771058273781,0
"SEQC_NB053",0.108576073005068,0,0.0176238886901069,0.245084174186795,0,0.147222359113513,0,0.16498945555142,0.0858110274181724,0,0.023932200692663,0.00353157602995991,0.0242637290248833,0.154387374136754,0,0.0245781421506636,0,0,0,0,0,0
"SEQC_NB054",0.0385411989135492,0,0.0317992266416582,0.239883546293578,0,0.045572479169243,0,0.112649525677477,0.0752031644813462,0,0.00919749548699046,0.0064054801221562,0.0305931687812628,0.136366218522275,0.0548859662236644,0.197772401083503,0.00790723790602126,0,0.0132228906972759,0,0,0
"SEQC_NB055",0.0133239134295168,0,0.0055384166184627,0.210729933569613,0,0.137800088018085,0,0.177923747678204,0.0744658233377751,0,0.0337587497123881,0.000238392866587136,0.0244605828690668,0.0209448174440397,0.0615637926239743,0.216292259512272,0.0151524180818397,0,0.00780706423817629,0,0,0
"SEQC_NB056",0.0609827540237494,0,0.00403532644662784,0.164591084652113,0,0.0899938270799715,0,0.134319917162083,0.0938030853114847,0,0.0294390097204929,0.0148562119028763,0.0374590839705701,0.113723596482009,0.0267390967746506,0.230057006473371,0,0,0,0,0,0
"SEQC_NB057",0.100795755634381,0,0,0.299575339481503,0,0,0,0.214967369627769,0.0672859511152342,0,0.0177737111347276,0.0146464409569129,0.0581668060847288,0.0673619316125062,0.0570660306538922,0.0920730085477858,0,0,0.0102876551505589,0,0,0
"SEQC_NB058",0.0187102027702775,0.00259834064738136,0,0.0110616229149213,0,0.2986104468574,0,0.165931497749232,0.0496745014954983,0,0.00716160388320895,0,0.0399554880339854,0.242129330896542,0.0401483470007922,0.0863739245894426,0,0,0.0266948032180464,0,0.0109498899432716,0
